Using device: cpu
Dataset: cora
----- Opt. hyperparams -----
lr: 0.005
l2_coef: 0.0005
----- Archi. hyperparams -----
nb. layers: 1
nb. units per layer: [8]
nb. attention heads: [8, 1]
residual: False
(2708, 2708)
(2708, 1433)

Training GAT...
Epoch: 0050, train_loss: 1.37633, train_acc: 0.76429, val_loss: 1.52905, val_acc: 0.79000, time: 0.60645s
Epoch: 0051, train_loss: 1.40005, train_acc: 0.77143, val_loss: 1.51805, val_acc: 0.79000, time: 0.62987s
Epoch: 0052, train_loss: 1.35506, train_acc: 0.77857, val_loss: 1.50706, val_acc: 0.79000, time: 0.64038s
Epoch: 0053, train_loss: 1.28315, train_acc: 0.83571, val_loss: 1.49604, val_acc: 0.79000, time: 0.63022s
Epoch: 0054, train_loss: 1.24303, train_acc: 0.78571, val_loss: 1.48522, val_acc: 0.79000, time: 0.61833s
Epoch: 0055, train_loss: 1.30921, train_acc: 0.80714, val_loss: 1.47423, val_acc: 0.79000, time: 0.61832s
Epoch: 0056, train_loss: 1.27249, train_acc: 0.80000, val_loss: 1.46324, val_acc: 0.79000, time: 0.63699s
Epoch: 0057, train_loss: 1.30307, train_acc: 0.77143, val_loss: 1.45223, val_acc: 0.79000, time: 0.65873s
Epoch: 0058, train_loss: 1.21566, train_acc: 0.85000, val_loss: 1.44112, val_acc: 0.79200, time: 0.62912s
Epoch: 0059, train_loss: 1.23863, train_acc: 0.80714, val_loss: 1.43018, val_acc: 0.79200, time: 0.74784s
Epoch: 0060, train_loss: 1.26108, train_acc: 0.75714, val_loss: 1.41917, val_acc: 0.79200, time: 0.65535s
Epoch: 0061, train_loss: 1.23245, train_acc: 0.76429, val_loss: 1.40829, val_acc: 0.79000, time: 0.63855s
Epoch: 0062, train_loss: 1.27127, train_acc: 0.80000, val_loss: 1.39744, val_acc: 0.79200, time: 0.64600s
Epoch: 0063, train_loss: 1.19116, train_acc: 0.82857, val_loss: 1.38664, val_acc: 0.79400, time: 0.62262s
Epoch: 0064, train_loss: 1.20853, train_acc: 0.72857, val_loss: 1.37589, val_acc: 0.79400, time: 0.67772s
Epoch: 0065, train_loss: 1.11537, train_acc: 0.80714, val_loss: 1.36510, val_acc: 0.79400, time: 0.67640s
Epoch: 0066, train_loss: 1.21797, train_acc: 0.77857, val_loss: 1.35462, val_acc: 0.79600, time: 0.86295s
Epoch: 0067, train_loss: 1.07167, train_acc: 0.82143, val_loss: 1.34430, val_acc: 0.79400, time: 0.73661s
Epoch: 0068, train_loss: 1.10424, train_acc: 0.79286, val_loss: 1.33420, val_acc: 0.79600, time: 0.80577s
Epoch: 0069, train_loss: 1.09534, train_acc: 0.85000, val_loss: 1.32439, val_acc: 0.79600, time: 0.72679s
Epoch: 0070, train_loss: 1.12820, train_acc: 0.80714, val_loss: 1.31495, val_acc: 0.79600, time: 0.71127s
Epoch: 0071, train_loss: 1.15318, train_acc: 0.78571, val_loss: 1.30579, val_acc: 0.79600, time: 0.70006s
Epoch: 0072, train_loss: 1.03402, train_acc: 0.83571, val_loss: 1.29665, val_acc: 0.79400, time: 0.70794s
Epoch: 0073, train_loss: 1.12526, train_acc: 0.76429, val_loss: 1.28769, val_acc: 0.79400, time: 0.66816s
Epoch: 0074, train_loss: 1.06622, train_acc: 0.82857, val_loss: 1.27911, val_acc: 0.79400, time: 0.68187s
Epoch: 0075, train_loss: 1.08779, train_acc: 0.80000, val_loss: 1.27082, val_acc: 0.79400, time: 0.64103s
Epoch: 0076, train_loss: 1.13578, train_acc: 0.78571, val_loss: 1.26266, val_acc: 0.79400, time: 0.64387s
Epoch: 0077, train_loss: 1.20715, train_acc: 0.79286, val_loss: 1.25486, val_acc: 0.79400, time: 0.85669s
Epoch: 0078, train_loss: 1.06326, train_acc: 0.82143, val_loss: 1.24706, val_acc: 0.79400, time: 0.74936s
Epoch: 0079, train_loss: 1.11221, train_acc: 0.75714, val_loss: 1.23951, val_acc: 0.79400, time: 0.69403s
Epoch: 0080, train_loss: 1.04330, train_acc: 0.77857, val_loss: 1.23220, val_acc: 0.79400, time: 0.68869s
Epoch: 0081, train_loss: 1.04422, train_acc: 0.87143, val_loss: 1.22541, val_acc: 0.79400, time: 0.67246s
Epoch: 0082, train_loss: 1.12956, train_acc: 0.80000, val_loss: 1.21892, val_acc: 0.79200, time: 0.69391s
Epoch: 0083, train_loss: 1.01340, train_acc: 0.80714, val_loss: 1.21272, val_acc: 0.79200, time: 0.73895s
Epoch: 0084, train_loss: 1.04706, train_acc: 0.80000, val_loss: 1.20696, val_acc: 0.79200, time: 0.61270s
Epoch: 0085, train_loss: 1.01626, train_acc: 0.81429, val_loss: 1.20125, val_acc: 0.79400, time: 0.64286s
Epoch: 0086, train_loss: 1.00886, train_acc: 0.75714, val_loss: 1.19571, val_acc: 0.79400, time: 0.62343s
Epoch: 0087, train_loss: 1.01470, train_acc: 0.80000, val_loss: 1.19020, val_acc: 0.79600, time: 0.62738s
Epoch: 0088, train_loss: 0.95933, train_acc: 0.78571, val_loss: 1.18501, val_acc: 0.79200, time: 0.62472s
Epoch: 0089, train_loss: 1.00350, train_acc: 0.80000, val_loss: 1.17975, val_acc: 0.79000, time: 0.61135s
Epoch: 0090, train_loss: 1.03675, train_acc: 0.82143, val_loss: 1.17433, val_acc: 0.79000, time: 0.62399s
Epoch: 0091, train_loss: 0.96063, train_acc: 0.83571, val_loss: 1.16887, val_acc: 0.79000, time: 0.59841s
Epoch: 0092, train_loss: 1.02997, train_acc: 0.78571, val_loss: 1.16357, val_acc: 0.79200, time: 0.86669s
Epoch: 0093, train_loss: 0.99625, train_acc: 0.83571, val_loss: 1.15826, val_acc: 0.79200, time: 0.72971s
Epoch: 0094, train_loss: 0.88453, train_acc: 0.85714, val_loss: 1.15304, val_acc: 0.79400, time: 0.70133s
Epoch: 0095, train_loss: 1.07359, train_acc: 0.73571, val_loss: 1.14802, val_acc: 0.79600, time: 0.63155s
Epoch: 0096, train_loss: 1.04983, train_acc: 0.77857, val_loss: 1.14279, val_acc: 0.79400, time: 0.69465s
Epoch: 0097, train_loss: 0.92113, train_acc: 0.78571, val_loss: 1.13780, val_acc: 0.79400, time: 0.78656s
Epoch: 0098, train_loss: 0.88467, train_acc: 0.82143, val_loss: 1.13286, val_acc: 0.79400, time: 0.89031s
Epoch: 0099, train_loss: 0.93640, train_acc: 0.84286, val_loss: 1.12786, val_acc: 0.79400, time: 0.71490s
Epoch: 0100, train_loss: 1.00881, train_acc: 0.78571, val_loss: 1.12269, val_acc: 0.79200, time: 0.74488s
Epoch: 0101, train_loss: 0.95021, train_acc: 0.80714, val_loss: 1.11762, val_acc: 0.79000, time: 0.70439s
Epoch: 0102, train_loss: 0.98418, train_acc: 0.82857, val_loss: 1.11254, val_acc: 0.79200, time: 0.72949s
Epoch: 0103, train_loss: 0.86246, train_acc: 0.83571, val_loss: 1.10784, val_acc: 0.79200, time: 0.65570s
Epoch: 0104, train_loss: 0.95356, train_acc: 0.81429, val_loss: 1.10317, val_acc: 0.79400, time: 0.66034s
Epoch: 0105, train_loss: 0.87529, train_acc: 0.86429, val_loss: 1.09834, val_acc: 0.79400, time: 0.63714s
Epoch: 0106, train_loss: 0.92052, train_acc: 0.79286, val_loss: 1.09383, val_acc: 0.79400, time: 0.64162s
Epoch: 0107, train_loss: 0.87349, train_acc: 0.80000, val_loss: 1.08898, val_acc: 0.79400, time: 0.65968s
Epoch: 0108, train_loss: 0.80235, train_acc: 0.84286, val_loss: 1.08407, val_acc: 0.79600, time: 0.64884s
Epoch: 0109, train_loss: 0.84061, train_acc: 0.83571, val_loss: 1.07901, val_acc: 0.79400, time: 0.67815s
Epoch: 0110, train_loss: 0.88699, train_acc: 0.81429, val_loss: 1.07397, val_acc: 0.79400, time: 0.69663s
Epoch: 0111, train_loss: 0.94721, train_acc: 0.78571, val_loss: 1.06888, val_acc: 0.79600, time: 0.64310s
Epoch: 0112, train_loss: 1.02838, train_acc: 0.70714, val_loss: 1.06424, val_acc: 0.79400, time: 1.00097s
Epoch: 0113, train_loss: 0.91211, train_acc: 0.80714, val_loss: 1.05948, val_acc: 0.79600, time: 0.89168s
Epoch: 0114, train_loss: 0.91011, train_acc: 0.78571, val_loss: 1.05513, val_acc: 0.79600, time: 0.73207s
Epoch: 0115, train_loss: 0.88156, train_acc: 0.82143, val_loss: 1.05099, val_acc: 0.79600, time: 0.80563s
Epoch: 0116, train_loss: 0.89343, train_acc: 0.82143, val_loss: 1.04694, val_acc: 0.79600, time: 0.72456s
Epoch: 0117, train_loss: 0.85351, train_acc: 0.82857, val_loss: 1.04286, val_acc: 0.79600, time: 0.82583s
Epoch: 0118, train_loss: 0.89822, train_acc: 0.82143, val_loss: 1.03876, val_acc: 0.79600, time: 0.71112s
Epoch: 0119, train_loss: 0.88619, train_acc: 0.80714, val_loss: 1.03467, val_acc: 0.79600, time: 0.69602s
Epoch: 0120, train_loss: 0.80829, train_acc: 0.85000, val_loss: 1.03071, val_acc: 0.79800, time: 0.69958s
Epoch: 0121, train_loss: 0.91707, train_acc: 0.77143, val_loss: 1.02677, val_acc: 0.80000, time: 0.70503s
Epoch: 0122, train_loss: 0.93227, train_acc: 0.77857, val_loss: 1.02307, val_acc: 0.80000, time: 0.67081s
Epoch: 0123, train_loss: 0.83249, train_acc: 0.83571, val_loss: 1.01951, val_acc: 0.80000, time: 0.63242s
Epoch: 0124, train_loss: 0.87363, train_acc: 0.80714, val_loss: 1.01625, val_acc: 0.79800, time: 0.62562s
Epoch: 0125, train_loss: 0.82747, train_acc: 0.82857, val_loss: 1.01258, val_acc: 0.79800, time: 0.60957s
Epoch: 0126, train_loss: 0.86546, train_acc: 0.77857, val_loss: 1.00900, val_acc: 0.79800, time: 0.69037s
Epoch: 0127, train_loss: 0.82708, train_acc: 0.85000, val_loss: 1.00541, val_acc: 0.79600, time: 0.76294s
Epoch: 0128, train_loss: 0.77393, train_acc: 0.82143, val_loss: 1.00179, val_acc: 0.79600, time: 0.69426s
Epoch: 0129, train_loss: 0.88098, train_acc: 0.79286, val_loss: 0.99841, val_acc: 0.79600, time: 0.85074s
Epoch: 0130, train_loss: 0.86721, train_acc: 0.83571, val_loss: 0.99486, val_acc: 0.79400, time: 0.67903s
Epoch: 0131, train_loss: 0.85409, train_acc: 0.78571, val_loss: 0.99121, val_acc: 0.79400, time: 0.66314s
Epoch: 0132, train_loss: 0.89757, train_acc: 0.79286, val_loss: 0.98764, val_acc: 0.79600, time: 0.68906s
Epoch: 0133, train_loss: 0.78889, train_acc: 0.87143, val_loss: 0.98380, val_acc: 0.79600, time: 0.70836s
Epoch: 0134, train_loss: 0.89210, train_acc: 0.80714, val_loss: 0.98031, val_acc: 0.79600, time: 0.74390s
Epoch: 0135, train_loss: 0.84123, train_acc: 0.80714, val_loss: 0.97693, val_acc: 0.79600, time: 0.75658s
Epoch: 0136, train_loss: 0.80161, train_acc: 0.81429, val_loss: 0.97385, val_acc: 0.79600, time: 0.83202s
Epoch: 0137, train_loss: 0.78204, train_acc: 0.83571, val_loss: 0.97054, val_acc: 0.79600, time: 0.73884s
Epoch: 0138, train_loss: 0.80483, train_acc: 0.85000, val_loss: 0.96718, val_acc: 0.79600, time: 0.74189s
Epoch: 0139, train_loss: 0.75027, train_acc: 0.83571, val_loss: 0.96383, val_acc: 0.79400, time: 0.70960s
Epoch: 0140, train_loss: 0.75842, train_acc: 0.82143, val_loss: 0.96034, val_acc: 0.79400, time: 0.67447s
Epoch: 0141, train_loss: 0.78545, train_acc: 0.82143, val_loss: 0.95710, val_acc: 0.79400, time: 0.68853s
Epoch: 0142, train_loss: 0.83496, train_acc: 0.77143, val_loss: 0.95398, val_acc: 0.79600, time: 0.68497s
Epoch: 0143, train_loss: 0.83112, train_acc: 0.77143, val_loss: 0.95069, val_acc: 0.79400, time: 0.62663s
Epoch: 0144, train_loss: 0.83861, train_acc: 0.85000, val_loss: 0.94751, val_acc: 0.79400, time: 0.72106s
Epoch: 0145, train_loss: 0.75561, train_acc: 0.82857, val_loss: 0.94449, val_acc: 0.79400, time: 0.80135s
Epoch: 0146, train_loss: 0.72163, train_acc: 0.86429, val_loss: 0.94137, val_acc: 0.79400, time: 0.70978s
Epoch: 0147, train_loss: 0.81138, train_acc: 0.83571, val_loss: 0.93817, val_acc: 0.79600, time: 0.74803s
Epoch: 0148, train_loss: 0.74940, train_acc: 0.83571, val_loss: 0.93504, val_acc: 0.79600, time: 0.68712s
Epoch: 0149, train_loss: 0.80562, train_acc: 0.78571, val_loss: 0.93179, val_acc: 0.79800, time: 0.70874s
Epoch: 0150, train_loss: 0.73344, train_acc: 0.82857, val_loss: 0.92868, val_acc: 0.79800, time: 0.69328s
Epoch: 0151, train_loss: 0.65128, train_acc: 0.85714, val_loss: 0.92591, val_acc: 0.80000, time: 0.68007s
